volcano_name,latitude,longitude,error,status
Taapaca,-18.1,-69.5,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Parinacota,-18.166,-69.142,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Guallatiri,-18.42,-69.092,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Isluga,-19.15,-68.83,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Irruputuncu,-20.73,-68.55,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Olca-Paruma,-20.939,-68.413,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Putana,-22.557,-67.853,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Lascar,-23.37,-67.73,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Socompa,-24.396,-68.246,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Llullaillaco,-24.72,-68.53,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
"Ojos del Salado, Nevados",-27.109,-68.541,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
"Blanco, Cerro",-26.7657,-67.746,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Tupungatito,-33.425,-69.797,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
San Jose,-33.789,-69.895,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Maipo,-34.164,-69.832,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Tinguiririca,-34.814,-70.352,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Planchon-Peteroa,-35.223,-70.568,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Infiernillo,-35.123,-69.9,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Descabezado Grande,-35.58,-70.75,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
"Azul, Cerro",-35.653,-70.761,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
"Maule, Laguna del",-36.058,-70.492,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
"Longavi, Nevado de",-36.1959,-71.1641,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Payun Matru,-36.422,-69.241,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
"Chillan, Nevados de",-36.868,-71.378,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Tromen Volcanic Plateau,-37.144,-70.033,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Antuco,-37.406,-71.349,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Copahue,-37.856,-71.183,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Callaqui,-37.92,-71.45,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Lonquimay,-38.379,-71.586,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Llaima,-38.692,-71.729,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Sollipulli,-38.97,-71.52,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Saba,17.63,-63.23,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Liamuiga,17.37,-62.8,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Tjornes Fracture Zone,66.309,-17.118,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
La Palma,28.57,-17.83,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Buckle Island,-66.78,163.25,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Bristol Island,-59.017,-26.533,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Candlemas Island,-57.08,-26.67,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
